"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Burundi","BDI","Population ages 65 and above, male","SP.POP.65UP.MA.IN","34844","35835","36705","37485","38212","38899","40119","41310","42392","43249","43831","45979","47950","49830","51715","53641","54695","55773","56871","57922","58870","60245","61556","62785","63932","65028","66570","68068","69482","70753","71829","72997","73820","74315","74512","74454","76509","78490","80422","82353","84285","86313","88450","90649","92797","94842","97185","99498","101794","104064","106368","108035","109612","111431","113994","117590","123158","",
"Belgium","BEL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","463393","469294","475270","482683","490766","498430","509015","518360","525849","531287","534080","542058","548557","552629","555514","557443","564591","570968","575147","574838","569126","565221","555822","544662","536486","533996","542539","555677","572198","587764","599904","615414","628273","638972","648324","656949","669653","682038","693435","703672","712468","723706","734230","743076","750385","756936","765447","772164","778477","786475","798492","817623","834421","850913","864902","880597","901832","",
"Benin","BEN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","56073","56263","56135","55750","55216","54584","55946","57246","58459","59513","60402","61840","63111","64204","65085","65745","66949","67928","68685","69236","69575","70454","71150","71661","71989","72142","73242","74221","75106","75939","76733","78268","79833","81397","82895","84322","85803","87130","88389","89672","91052","93224","95418","97712","100219","102985","106919","111051","115186","119080","122615","126412","129896","133332","137096","141404","146627","",
"Burkina Faso","BFA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","60609","62579","64236","65574","66597","67306","69716","71850","73662","75138","76260","78899","81248","83279","84975","86308","89344","92017","94349","96377","98112","101492","104741","107783","110516","112891","115747","118259","120373","122023","123180","124831","125949","126582","126737","126417","127168","127462","127375","127006","126426","128077","129543","130871","132098","133252","136692","140098","143405","146540","149465","154015","158439","162738","166868","170861","176294","",
"Bangladesh","BGD","Population ages 65 and above, male","SP.POP.65UP.MA.IN","694802","716421","737399","757935","778520","799876","838411","876411","912452","945467","975468","1021012","1063098","1103355","1143500","1184987","1224404","1261495","1295840","1327514","1356848","1393325","1425737","1453495","1476187","1494187","1545985","1596264","1644778","1691492","1736914","1801467","1863538","1924151","1984572","2046075","2149723","2254230","2360098","2467829","2577749","2692401","2804941","2915305","3023526","3129493","3247409","3356779","3457352","3549257","3633133","3736275","3835348","3926524","4002824","4060983","4130934","",
"Bulgaria","BGR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","264035","271347","279430","288352","298232","308798","320532","332511","345070","358209","371354","384323","396435","408378","420823","432528","445905","459726","470029","476188","478218","476170","468848","459643","453424","451772","461211","475123","490743","499351","502726","513468","521987","530537","540508","549023","559118","567117","572656","575897","576210","572161","563941","561103","556928","551842","550401","548189","546010","545087","545698","552769","561476","570511","578198","583339","591122","",
"Bahrain","BHR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2440","2406","2321","2183","1985","1731","1867","2025","2228","2480","2808","2888","2995","3130","3273","3429","3538","3649","3763","3896","4051","4514","4959","5369","5729","6022","5919","5837","5804","5830","5889","6182","6460","6723","6955","7139","7351","7563","7777","8035","8342","8462","8696","9048","9495","10024","10401","10874","11409","11977","12615","13686","14561","15274","15941","16662","17568","",
"Bahamas, The","BHS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1685","1721","1762","1807","1862","1919","1988","2063","2147","2233","2312","2451","2553","2641","2731","2838","2992","3182","3392","3592","3769","3903","3992","4047","4102","4165","4239","4328","4428","4530","4627","4793","4954","5116","5276","5431","5627","5827","6026","6256","6527","6860","7226","7602","7989","8408","8772","9140","9518","9894","10284","10859","11483","12138","12824","13534","14299","",
"Bosnia and Herzegovina","BIH","Population ages 65 and above, male","SP.POP.65UP.MA.IN","46817","49386","52199","55171","58191","61196","64249","67058","69722","72384","75157","79217","83038","86361","88921","90610","93847","96680","98919","100201","100388","99360","97362","94952","92854","91478","92931","95125","98135","102024","106719","113475","120096","126453","132639","138959","143549","148400","153789","159981","166912","176538","187243","197783","206270","211685","215648","216466","215409","214344","214308","215750","217822","220565","223973","228193","233723","",
"Belarus","BLR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","243408","244240","244742","245179","245883","247012","252488","258218","264048","269709","274911","284190","292244","299145","305263","310866","316782","323023","328230","330017","327840","324911","318699","311130","304726","300901","302971","306657","311286","318865","329457","344998","363481","382407","397751","408593","421580","429693","434689","439435","444621","455394","465562","472957","474506","468597","464298","454937","442888","431676","422939","423215","425659","429573","433766","437718","448746","",
