"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Azerbaijan","AZE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","123929","126505","129887","134011","138795","144179","150206","157003","164079","170605","176154","180370","183073","184907","186841","189372","192544","196315","200230","203418","205462","207634","208530","208707","208957","209729","211379","213092","215318","218790","221459","227217","234316","242012","248891","254449","259998","264220","267929","272024","277004","287578","298712","308974","316462","320121","321355","319328","318210","316420","312342","312688","313601","315653","319853","326889","336649","",
"Burundi","BDI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","47282","48570","49768","50890","51988","53080","54659","56221","57682","58926","59905","61823","63456","64880","66201","67438","68956","70515","72122","73781","75454","77510","79588","81616","83529","85340","87590","89743","91802","93760","95588","97366","98917","100196","101153","101795","104022","105822","107302","108631","109886","111387","113073","114880","116648","118268","120251","122149","123906","125413","126708","128444","130006","131752","134186","137644","142862","",
"Belgium","BEL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","623486","634782","646973","661904","678421","694929","711248","726712","740723","753282","763594","776327","788759","799320","809457","819294","830598","841594","850785","855644","855047","851960","842763","831526","823635","822472","829224","842140","860467","878932","894360","910357","924204","936220","947168","957742","970137","982886","995007","1006336","1016562","1025901","1034905","1042322","1048599","1054928","1060927","1065524","1070260","1077485","1090157","1108564","1123796","1138859","1150756","1164803","1182746","",
"Benin","BEN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","66025","66640","67076","67262","67124","66640","68687","70531","72191","73711","75099","77151","79094","80917","82598","84136","86035","87792","89436","91003","92522","94320","96066","97722","99271","100700","102638","104478","106277","108094","109968","112113","114315","116559","118821","121094","123409","125643","127865","130155","132592","135585","138600","141744","145160","148937","153872","159016","164268","169457","174505","179820","184973","190017","194991","199962","205172","",
"Burkina Faso","BFA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","51998","54554","56999","59353","61673","63996","67228","70404","73504","76509","79435","83181","86828","90399","93896","97327","101793","106127","110353","114512","118644","123766","128948","134143","139279","144319","149071","153632","157993","162138","166080","169839","173212","176258","179017","181537","184641","187407","189918","192260","194522","198085","201441","204677","207887","211137","216303","221404","226385","231143","235656","241792","247702","253494","259289","265218","273043","",
"Bangladesh","BGD","Population ages 65 and above, female","SP.POP.65UP.FE.IN","598073","615809","633179","649781","665321","680060","710316","739363","765967","789154","808986","842626","873314","903026","933920","967544","1003619","1038115","1070373","1100290","1128033","1167138","1204416","1239465","1272052","1302752","1358145","1413629","1468925","1523975","1579009","1652809","1726924","1801612","1876828","1953079","2052819","2152523","2253250","2356315","2462689","2568705","2671913","2773782","2876511","2981355","3098678","3211497","3317705","3414859","3501952","3635644","3763416","3880811","3980774","4060591","4142888","",
"Bulgaria","BGR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","331932","340542","349846","359833","370567","381724","393053","404674","417210","430876","445147","459124","472745","486570","501129","514901","529084","544290","556430","565458","571653","572466","568324","562480","560111","563094","576260","595801","618627","633779","643163","658560","672063","686569","703988","720696","735849","749389","761024","771290","779434","777642","771614","774178","775928","777303","778942","780365","782572","787183","794614","804352","817439","832192","846253","857750","868275","",
"Bahrain","BHR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2417","2350","2246","2084","1874","1613","1729","1867","2035","2246","2507","2579","2675","2784","2888","2980","3054","3105","3167","3251","3382","3737","4087","4419","4731","5029","5059","5071","5036","4973","4935","5282","5625","5918","6159","6392","6783","7167","7481","7721","7964","8216","8538","8931","9386","9893","10476","11160","11888","12580","13192","13701","14082","14405","14758","15227","15855","",
"Bahamas, The","BHS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2451","2519","2603","2699","2804","2914","3003","3098","3195","3306","3416","3581","3713","3844","3978","4120","4275","4446","4632","4811","4970","5149","5297","5427","5557","5696","5811","5947","6099","6264","6437","6651","6863","7082","7325","7592","7901","8235","8595","8990","9411","9902","10414","10929","11467","12062","12599","13144","13682","14232","14794","15431","16140","16911","17734","18597","19520","",
"Bosnia and Herzegovina","BIH","Population ages 65 and above, female","SP.POP.65UP.FE.IN","64235","66900","70064","73524","76964","80218","83310","86063","88615","91207","94028","99197","104483","109798","115020","120049","125065","130075","134822","138792","141772","143503","144168","144536","145697","148268","154230","161828","170486","179186","187192","194475","199988","204412","208956","214589","218525","223610","229917","237374","245743","256539","268775","281086","291336","298319","303210","304457","303589","303000","304063","306591","310382","315321","321052","327554","333679","",
"Belarus","BLR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","442380","443461","445245","448347","453575","461394","474762","490721","508286","525886","542401","560108","576140","592129","609641","628754","647224","667845","688070","703018","711190","712203","706787","698894","694189","695894","702659","714296","727187","742891","760025","779621","803036","827283","846530","860097","874361","882096","886472","892709","902185","916105","931850","946535","955454","955425","950787","939810","925399","912742","904376","901125","902013","906643","913680","922653","935929","",
"Belize","BLZ","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2001","2073","2149","2221","2297","2368","2444","2521","2593","2660","2728","2822","2908","2989","3077","3172","3236","3298","3351","3380","3397","3456","3500","3547","3588","3629","3699","3781","3870","3969","4075","4204","4337","4496","4675","4868","4864","4873","4903","4940","4989","5019","5031","5027","5011","4984","5157","5333","5528","5748","6003","6123","6251","6389","6553","6753","6995","",
"Bermuda","BMU","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","91934","92535","92724","92647","92515","92414","93209","93949","94671","95361","96032","97595","99044","100427","101783","103143","106177","109194","112130","114886","117401","121310","125139","128992","132961","137110","141971","146989","152294","158022","164253","170058","176154","182459","188811","195139","201349","207531","213703","219867","226055","232753","239479","246491","254132","262610","271907","281946","292505","303232","313999","324201","334225","344572","355947","368804","381209","",
"Brazil","BRA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1288469","1346537","1407089","1468352","1527803","1584223","1637085","1688195","1738964","1791301","1846663","1909875","1973930","2039503","2107247","2177450","2253104","2329289","2405788","2481741","2556923","2633247","2709054","2785600","2864781","2948381","3042158","3138842","3240235","3348744","3465997","3611239","3761847","3915422","4067761","4216811","4391297","4561680","4734304","4918218","5118910","5340878","5581405","5833308","6085531","6333091","6576965","6815390","7057739","7317131","7601839","7917833","8252497","8608510","8988531","9395132","9804603","",
"Barbados","BRB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","11168","11337","11426","11466","11519","11626","11780","11997","12245","12481","12695","12844","13064","13405","13851","14309","14639","14938","15247","15583","15943","16108","16161","16145","16097","16033","16020","16003","15997","16006","16046","16235","16451","16683","16904","17111","17363","17614","17874","18160","18470","18581","18689","18782","18878","18979","19178","19404","19677","20010","20414","20838","21331","21878","22490","23153","23783","",
"Brunei Darussalam","BRN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1704","1768","1831","1892","1946","2013","2062","2126","2203","2299","2404","2498","2593","2688","2784","2882","2900","2884","2844","2762","2638","2694","2742","2790","2833","2891","2962","3039","3124","3197","3263","3354","3434","3522","3638","3799","3828","3883","3946","3997","4027","4354","4659","4945","5232","5546","5894","6194","6440","6633","6804","7103","7468","7903","8415","9010","9645","",
"Bhutan","BTN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2720","2799","2876","2950","3018","3079","3187","3295","3393","3488","3573","3704","3825","3940","4048","4152","4305","4458","4603","4749","4885","5080","5264","5447","5642","5842","6129","6421","6699","6937","7112","7291","7380","7416","7442","7504","7785","8144","8550","8972","9370","9798","10209","10612","11011","11416","11894","12371","12847","13326","13822","14339","14879","15429","15989","16553","17162","",
"Botswana","BWA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","13337","13442","13437","13375","13343","13365","13531","13734","13946","14104","14185","14337","14434","14491","14521","14534","14650","14759","14871","15015","15216","15592","15999","16455","16992","17633","18439","19349","20314","21239","22098","23009","23819","24589","25421","26347","27358","28420","29514","30606","31684","32863","34013","35135","36232","37305","38442","39584","40723","41832","42900","43965","44986","46091","47465","49228","51310","",
"Central African Republic","CAF","Population ages 65 and above, female","SP.POP.65UP.FE.IN","35787","36360","36923","37449","37886","38212","39062","39816","40478","41058","41559","42631","43619","44542","45425","46283","47483","48673","49867","51035","52197","53528","54831","56098","57314","58475","59958","61319","62618","63942","65356","66944","68594","70251","71833","73296","75106","76691","78072","79297","80389","81964","83321","84465","85417","86182","87769","89180","90295","90948","91047","92157","92713","92948","93161","93563","94507","",
"Canada","CAN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","708436","726973","745682","765763","787527","810464","833346","858410","884583","910714","939082","966706","995232","1026421","1062388","1104206","1143897","1186018","1228979","1272678","1320206","1363782","1406393","1447378","1491469","1540044","1583868","1636413","1691633","1756480","1816396","1866006","1911042","1952379","1991289","2028648","2066222","2104573","2139831","2174347","2210120","2244793","2276124","2310976","2349936","2394357","2433299","2480186","2535886","2602214","2678995","2754482","2846616","2947729","3053033","3154247","3266810","",
"Central Europe and the Baltics","CEB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","3970654","4108670","4258218","4420615","4590094","4754115","4921332","5088633","5251367","5415166","5578906","5736522","5910541","6089611","6274270","6464044","6657165","6848152","7013871","7122725","7165919","7137105","7040499","6918598","6832859","6820860","6912884","7061945","7246041","7416181","7561739","7703670","7850135","8016268","8167031","8310904","8456743","8610369","8739512","8875931","8959960","9082958","9189915","9316899","9424960","9505617","9578386","9610187","9632268","9688651","9766588","9876369","10037465","10232167","10446647","10669927","10905503","",
"Switzerland","CHE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","316522","325154","335905","345709","354220","361355","370663","381129","392159","403141","412942","423785","435793","447877","459237","468040","477710","488277","500031","511515","522235","528473","532766","535192","537938","542919","549106","557553","567536","577694","588183","598249","606376","612538","617817","622577","628936","634246","640058","646914","654139","660105","666539","673015","679885","687544","696123","707511","722754","739291","755855","768902","782895","798660","815189","830531","846949","",
"Channel Islands","CHI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","8723","8836","8976","9128","9287","9443","9580","9722","9864","10011","10158","10328","10486","10633","10763","10877","11055","11195","11290","11356","11417","11508","11594","11681","11759","11838","11932","12022","12101","12159","12198","12265","12320","12346","12358","12358","12375","12366","12341","12324","12321","12468","12607","12734","12854","13006","13176","13404","13664","13923","14160","14381","14573","14772","15018","15347","15717","",
"Chile","CHL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","208803","216594","224051","231258","238388","245521","252628","259480","266247","273148","280334","289150","298247","307400","316246","324624","334630","344002","353086","362259","371754","382372","393104","404024","415148","426531","438504","450598","463049","476258","490501","505864","522217","539340","556841","574572","593657","612710","631856","651206","670859","690212","709474","729394","750962","774849","799254","825623","853603","882538","912171","940023","968377","998199","1030894","1067412","1106325","",
"China","CHN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","14257483","14159673","14111612","14166007","14177733","14220108","14855923","15542118","16277560","17022012","17741786","18529864","19277813","20009502","20733227","21444303","22279629","23094384","23932413","24797320","25662014","26661492","27677206","28656200","29555833","30414507","31210511","31970942","32700547","33440678","34251392","35008531","35891732","36879561","37923255","38985997","40395445","41708787","42962599","44220533","45511058","46760924","48036380","49319623","50548808","51712868","52846973","53950434","55093856","56366435","57840696","59464187","61203690","63195273","65644186","68656562","72224565","",
"Cote d'Ivoire","CIV","Population ages 65 and above, female","SP.POP.65UP.FE.IN","46345","48159","49981","51801","53635","55481","57563","59625","61713","63889","66184","69046","72053","75216","78515","81967","85653","89421","93323","97406","101726","106214","110912","115817","120895","126178","131774","137385","143147","149211","155688","161995","168409","174961","181650","188483","193890","198738","203039","206823","210148","215705","220439","224475","227963","231067","238414","245449","252138","258365","264114","272178","279691","286949","294324","302027","312762","",
"Cameroon","CMR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","104254","107246","110063","112748","115337","117858","121260","124584","127843","131006","134088","138111","142025","145873","149674","153462","158050","162574","167053","171505","175940","181117","186142","191082","196018","201005","206610","212196","217719","223133","228446","234283","239818","245099","250174","255106","260847","266197","271283","276201","280993","288002","294745","301252","307527","313594","321111","328498","335763","342914","350002","358556","366988","375374","383808","392372","402652","",
"Congo, Dem. Rep.","COD","Population ages 65 and above, female","SP.POP.65UP.FE.IN","272562","278441","284105","289660","295182","300760","309513","318257","326911","335374","343624","354047","363970","373639","383325","393222","405588","417962","430185","442017","453387","466722","479176","491052","502707","514422","529049","543838","559298","575968","594111","616162","639920","664307","688082","710698","730995","748187","763598","778719","794490","817494","841351","866017","891375","917357","948459","980127","1012467","1045592","1079655","1117487","1156040","1194939","1233595","1271856","1311927","",
"Congo, Rep.","COG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","20598","21303","22014","22732","23448","24165","24971","25766","26560","27367","28183","29082","29972","30867","31750","32636","33619","34571","35517","36471","37451","38525","39610","40719","41830","42947","44188","45408","46617","47837","49087","50411","51726","53036","54354","55682","57048","58372","59650","60900","62128","63506","64830","66142","67494","68914","70873","72917","74978","76996","78923","81344","83677","85970","88319","90798","93534","",
"Colombia","COL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","298618","309294","319874","330463","341162","352039","364220","376438","388781","401427","414576","429151","444285","459830","475433","490932","509472","526904","543684","560404","577352","595436","614129","633571","653869","675269","698289","722243","746818","771651","796584","822077","847059","872071","897764","924581","952932","982403","1012951","1044233","1076226","1110918","1146004","1182104","1220044","1260525","1303371","1348958","1398403","1453012","1513900","1580050","1651394","1728616","1812558","1903811","1998783","",
"Comoros","COM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","3397","3445","3479","3500","3518","3529","3609","3684","3759","3828","3902","4023","4143","4266","4393","4530","4730","4939","5160","5375","5580","5794","5976","6138","6292","6445","6626","6803","6976","7144","7302","7501","7697","7884","8067","8240","8459","8661","8853","9040","9215","9434","9631","9818","9996","10169","10407","10642","10859","11057","11219","11432","11612","11796","12016","12296","12692","",
"Cabo Verde","CPV","Population ages 65 and above, female","SP.POP.65UP.FE.IN","6177","6161","6154","6155","6151","6137","6192","6238","6284","6333","6405","6718","7020","7298","7547","7752","7925","8076","8193","8276","8311","8386","8448","8484","8481","8435","8381","8287","8201","8205","8343","8520","8823","9207","9618","10012","10482","10948","11431","11963","12557","13187","13843","14482","15045","15501","15835","16057","16191","16259","16280","15918","15508","15113","14807","14649","14718","",
"Costa Rica","CRI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","20548","21329","22205","23146","24135","25165","26284","27459","28687","29985","31358","32815","34336","35924","37610","39386","41391","43419","45499","47630","49827","52078","54441","56914","59508","62241","65054","67994","71108","74474","78147","81626","85370","89384","93608","98045","102267","106649","111193","115914","120830","125788","130932","136294","141883","147759","153729","159813","166233","173316","181265","189420","198491","208248","218264","228347","238089","",
"Caribbean small states","CSS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","99912","103366","106967","110586","114197","117806","120120","122470","124952","127596","130352","133419","136525","139807","143171","146413","151544","156544","161609","166720","171674","175491","178901","182198","185439","188487","191499","194893","198888","203461","208464","211943","215050","217857","220443","222936","226403","229921","233624","237650","241982","245670","249571","253615","257769","262106","267382","272597","277919","283726","290340","296543","303557","311240","319465","328179","337246","",
"Cuba","CUB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","150577","156311","161447","166680","173104","181296","189999","200978","213571","226608","239510","254113","267954","281404","295358","310263","324744","340272","356318","371676","385721","399965","411931","422626","433691","445999","454505","464306","474891","485438","495640","504222","513074","521947","530686","539333","549913","559471","568825","579122","590947","603600","617656","632757","648100","663369","682425","701174","719802","738662","758130","775427","792356","810007","829849","852762","877037","",
"Curacao","CUW","Population ages 65 and above, female","SP.POP.65UP.FE.IN","3756","3750","3768","3785","3793","3787","3894","3996","4114","4246","4396","4570","4667","4718","4807","4851","4900","4941","4941","4965","5023","5128","5269","5392","5506","5621","5811","5949","6044","6128","6245","6375","6535","6753","6981","7235","7567","7885","8041","8042","7996","7964","8231","8678","9144","9740","10082","10418","10736","11016","11381","11907","12383","12934","13556","14220","14821","",
"Cayman Islands","CYM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Population ages 65 and above, female","SP.POP.65UP.FE.IN","17200","18159","19108","19741","20026","20220","22433","25001","27778","30615","33450","33646","33782","33898","34032","34182","34353","34490","34592","34656","34676","35303","35895","36452","37038","37698","38170","38799","39576","40497","41546","42559","43676","44915","46270","47724","48828","49989","51195","52421","53656","54823","56046","57450","59123","61025","62628","64311","66077","67909","69761","72107","74443","76799","79192","81635","83946","",
"Czech Republic","CZE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","537424","551688","569340","588083","608408","629474","650799","672253","693454","713798","728509","741913","757427","771963","787355","803930","820447","838260","853658","860898","854548","839531","816202","788906","766978","755849","760984","773753","790981","806997","816117","825091","833869","840293","844769","847817","855388","862561","868640","872304","871523","872651","871577","870441","871409","876620","886643","902376","923315","944878","967031","992789","1021275","1050903","1081549","1112054","1142651","",
"Germany","DEU","Population ages 65 and above, female","SP.POP.65UP.FE.IN","4992030","5152206","5312857","5474806","5634397","5804356","5960315","6095834","6234478","6401952","6549524","6705057","6884661","7055873","7205768","7319148","7464326","7608861","7737346","7830197","7878297","7865898","7776514","7646871","7529362","7468158","7470561","7523635","7618399","7738435","7845683","7934270","8012554","8070453","8091555","8098906","8162411","8190198","8204437","8250292","8346351","8485521","8665842","8857924","9032488","9174540","9320009","9432610","9513544","9572297","9632456","9478526","9506463","9541812","9602871","9726373","9881298","",
"Djibouti","DJI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1071","1132","1207","1296","1395","1508","1610","1720","1846","1979","2127","2257","2392","2558","2768","3038","3294","3610","3971","4333","4681","4929","5135","5334","5577","5900","6311","6812","7355","7891","8404","8736","8988","9197","9397","9628","9987","10384","10805","11238","11672","12116","12558","12996","13456","13931","14433","14952","15501","16085","16723","17423","18155","18908","19649","20366","21032","",
"Dominica","DMA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Population ages 65 and above, female","SP.POP.65UP.FE.IN","261702","268492","275846","283448","291111","298708","307135","315546","323486","331441","340363","350367","359914","369607","378872","387556","395965","404537","412947","420714","427487","433250","438001","442288","446596","451478","456746","461582","465476","468552","471072","471555","471393","470402","468825","467764","467532","466388","464854","463111","461506","462266","462690","463346","465095","468498","474457","481994","491353","501660","512733","523609","536873","552560","569158","585517","600604","",
"Dominican Republic","DOM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","41167","42641","44123","45625","47160","48743","50620","52535","54514","56559","58678","61052","63487","65991","68601","71328","74281","77329","80488","83755","87135","91067","95066","99192","103526","108126","113592","119345","125379","131673","138218","145520","152985","160688","168720","177158","185495","194134","203066","212239","221630","231110","240626","250114","259460","268637","277119","285470","293937","302817","312347","322275","332718","343855","355910","369041","382755","",
"Algeria","DZA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","175907","186281","198302","210758","222135","231684","239652","246078","251966","258594","266648","277684","289622","301717","312966","322905","331986","339884","347297","355144","363943","375079","387281","399790","411533","422010","432513","441889","451101","461498","473929","488106","503631","520315","537904","556307","581356","608356","637330","667996","700217","731010","762419","794730","827891","861759","893375","925309","958323","993103","1030288","1059086","1089395","1122690","1161637","1208226","1257830","",
"East Asia & Pacific (excluding high income)","EAP","Population ages 65 and above, female","SP.POP.65UP.FE.IN","18925458","18945583","19011967","19180307","19308865","19473211","20278520","21132648","22037240","22955939","23856889","24823986","25752876","26666125","27568980","28455821","29535823","30591135","31665370","32760584","33849363","35094699","36342765","37549407","38683045","39790456","40868507","41925478","42963653","44023506","45157737","46288001","47546435","48919241","50369503","51868940","53771162","55601317","57392738","59198646","61036250","62778450","64507196","66205102","67816446","69339844","70962379","72531098","74115122","75812364","77713315","79860673","82151381","84731796","87820038","91532701","95861345","",
"Early-demographic dividend","EAR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","16979876","17505769","18040858","18562825","19049138","19490649","20081915","20635301","21168585","21711082","22280140","23070393","23871961","24675545","25464357","26234721","27144990","28036159","28911123","29771135","30618977","31573247","32499947","33413080","34331954","35274868","36376845","37484975","38606305","39747772","40948104","42411670","43885174","45382126","46915234","48497223","50384880","52283913","54199382","56134768","58097105","60065888","62001608","63899885","65755408","67579933","69608881","71589854","73542640","75500249","77506674","79780456","82081429","84492439","87107492","89995126","93292490","",
"East Asia & Pacific","EAS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","23235692","23426709","23623810","23927397","24194107","24499257","25450348","26448921","27481634","28602144","29679565","30876849","32034150","33157332","34344261","35516961","36862116","38227029","39630469","41060944","42473589","44054317","45615422","47127946","48585734","50056372","51512944","52983328","54466867","55994439","57603429","59217174","60954425","62815364","64785799","66841266","69291031","71672015","74029760","76397087","78806773","81122698","83423746","85692930","87866658","89964515","92153093","94282703","96466222","98795655","101401210","104202144","107220598","110569972","114442274","118930650","123938961","",
