"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Azerbaijan","AZE","Population ages 15-64, female","SP.POP.1564.FE.IN","1159971","1173636","1186573","1200386","1217240","1238267","1256810","1281400","1310444","1341797","1374957","1414131","1454887","1498222","1545729","1597738","1649635","1705259","1763504","1822239","1879890","1934396","1987657","2038900","2087643","2133555","2171718","2206993","2240123","2271866","2275902","2298247","2323748","2353440","2383586","2414038","2448546","2487636","2531469","2577312","2624275","2671748","2717401","2765230","2821642","2888482","2953745","3025614","3128842","3228114","3291063","3345672","3392814","3431393","3464593","3494547","3514666","",
"Burundi","BDI","Population ages 15-64, female","SP.POP.1564.FE.IN","782208","792231","801316","810904","823174","839127","852755","870914","891642","912275","931481","941093","950176","960386","973575","990740","1013398","1039633","1068486","1098938","1130073","1152056","1176669","1202929","1229822","1257028","1281680","1306924","1332983","1360625","1390074","1404913","1423421","1444232","1465341","1485972","1495582","1504747","1516943","1536620","1566683","1626605","1697050","1776114","1860447","1947122","2033123","2122029","2212199","2302176","2390941","2464373","2537794","2611594","2686482","2763508","2844273","",
"Belgium","BEL","Population ages 15-64, female","SP.POP.1564.FE.IN","2973197","2963604","2963258","2978249","3000042","3019650","3030143","3038672","3043853","3048032","3049437","3056333","3071465","3086656","3104869","3125321","3139649","3154995","3172406","3193166","3218046","3239891","3263691","3287743","3307445","3321102","3323671","3322465","3325024","3327511","3327804","3330529","3333943","3336452","3336422","3333949","3329914","3329892","3330801","3332913","3335396","3345372","3358323","3370327","3384259","3404190","3429052","3459436","3492637","3524186","3555526","3600110","3618975","3626691","3623034","3630451","3636206","",
"Benin","BEN","Population ages 15-64, female","SP.POP.1564.FE.IN","731501","736493","743042","750919","760009","770307","777572","786487","796924","808837","822208","833424","846600","861664","878537","897157","914121","933344","954597","977657","1002418","1025243","1050557","1078076","1107503","1138746","1168064","1199746","1234140","1271797","1313038","1356890","1405018","1456264","1509263","1563155","1610495","1659371","1710085","1763222","1819247","1874893","1934076","1996321","2060992","2127630","2190372","2255489","2323181","2393776","2467468","2539178","2614802","2694112","2776869","2863000","2950052","",
"Burkina Faso","BFA","Population ages 15-64, female","SP.POP.1564.FE.IN","1339722","1354477","1371411","1390331","1411147","1433864","1451245","1471242","1493650","1518422","1545511","1565626","1589650","1616849","1646130","1676946","1701252","1727614","1756675","1789533","1826694","1858462","1896341","1938906","1984472","2032298","2075771","2123227","2174582","2230110","2290085","2347300","2409578","2476915","2549307","2626660","2698384","2776559","2860230","2948252","3040082","3124954","3215599","3311749","3413216","3519842","3620431","3727582","3841049","3960936","4087278","4209240","4340074","4478496","4623020","4773047","4924741","",
"Bangladesh","BGD","Population ages 15-64, female","SP.POP.1564.FE.IN","12744426","13034422","13366613","13732040","14117670","14517193","14893814","15289482","15692218","16098161","16508168","16810703","17102413","17405404","17738187","18115714","18536208","19028747","19583289","20193209","20849107","21413388","22053331","22749801","23475884","24220741","24972183","25745815","26546524","27390086","28282480","29130198","30022080","30954657","31920430","32915423","33904383","34920295","35958046","37014181","38083377","39098422","40132605","41170925","42197066","43203590","44122978","45033566","45939776","46850918","47777629","48729688","49676780","50627733","51597232","52590123","53569940","",
"Bulgaria","BGR","Population ages 15-64, female","SP.POP.1564.FE.IN","2601913","2630956","2661505","2692614","2723537","2750352","2772808","2793325","2814769","2836642","2854089","2866312","2875793","2886189","2899874","2907223","2909865","2914606","2908904","2908296","2921405","2936499","2958122","2981953","3002633","3009946","3012013","3011554","3006612","2966388","2914412","2883019","2856918","2843549","2843261","2837343","2829943","2817441","2802156","2791502","2785715","2738250","2687858","2675573","2663468","2649281","2626431","2603943","2580403","2554531","2523708","2489065","2453273","2416131","2378828","2341380","2306172","",
"Bahrain","BHR","Population ages 15-64, female","SP.POP.1564.FE.IN","39606","39826","39960","39946","39850","39889","41414","42916","44403","45954","47646","49887","52585","55640","58907","62312","66370","70756","75378","80128","84875","89655","94018","98102","102056","106005","109574","113499","117585","121740","126031","129756","133939","138597","143701","149137","154197","159885","165896","172173","178835","188432","198531","209466","221754","235704","254086","274092","294499","313725","330588","341608","349971","356574","363036","370740","382260","",
"Bahamas, The","BHS","Population ages 15-64, female","SP.POP.1564.FE.IN","31473","32861","34293","35736","37150","38567","40293","42064","43794","45396","46840","48729","50251","51540","52838","54280","55726","57459","59373","61234","62959","65083","66920","68603","70354","72269","73924","75890","78013","80056","81896","83971","85745","87346","89032","90932","92416","94157","96100","98078","100051","102830","105661","108617","111704","114876","117567","120338","123322","126504","129754","132016","134352","136542","138385","139836","141060","",
"Bosnia and Herzegovina","BIH","Population ages 15-64, female","SP.POP.1564.FE.IN","981312","997894","1016240","1036319","1057507","1079259","1095896","1115262","1136428","1157763","1178408","1200882","1220815","1239527","1259114","1280436","1299569","1320581","1343080","1366125","1389257","1415191","1440096","1463999","1487276","1509582","1528582","1545995","1557383","1557126","1542371","1512784","1468916","1418171","1370230","1331642","1309035","1296986","1292785","1292354","1292672","1291324","1291934","1294046","1297078","1300566","1306005","1309814","1311387","1310267","1305931","1291827","1275979","1259085","1241764","1224805","1214490","",
